,Accuracy score,False positive rate,False negative rate,F1 score,Precision score,Recall score,Selection rate,Demographic parity difference,Equalized odds difference,SR Female,SR Male,FPR Male,FPR Female,FNR Male,FNR Female
Base_Model_XGB,0.8733146581281368,0.06087507261396171,0.3335299767197573,0.7169148244936989,0.7764733180842255,0.6664700232802427,0.20656619196302956,0.17884299202902046,0.08328633561952599,0.08693695437895174,0.26577994640797226,0.08483458143812225,0.0231370732416134,0.322795041533116,0.39121773987567676
GridSearch_XGB,0.8488066621202943,0.06070959993610956,0.43636330123382977,0.642044741870152,0.7465385919047562,0.5636366987661702,0.18181292004595656,0.01537822168455163,0.33357031444272456,0.18502642724751286,0.1802425797993743,0.03333126140279318,0.10384753788490489,0.4863022934667779,0.15273197902405336
ExponentiatedGradient_XGB,0.8507418344461636,0.06016779601099955,0.43040386815798204,0.6474913487743497,0.7505842342269811,0.5695961318420178,0.18288703823705357,0.013348274117904147,0.2968896966559681,0.17571209504732274,0.18649341290567453,0.037341767410060865,0.09621630555659791,0.4749684369764253,0.1780787403204572
ThresholdOptimizer_XGB,0.8139492410600793,0.1756662715976926,0.21850338246420983,0.669008465735471,0.5853071783480432,0.7814966175357901,0.32158092303932034,0.01463397845460882,0.18626907624520142,0.32337655827329215,0.3206903803791311,0.13003969804529075,0.24759602991339116,0.2465509149056993,0.0602818386604979
