,Accuracy score,False positive rate,False negative rate,F1 score,Precision score,Recall score,Selection rate,Demographic parity difference,Equalized odds difference,SR Female,SR Male,FPR Male,FPR Female,FNR Male,FNR Female,Model_name
min,0.8187960687960688,0.034874290348742905,0.36780104712041883,0.5156382079459002,0.6363636363636364,0.3900255754475703,0.12311943506294136,0.0020492117629612866,0.05481076151390796,0.12174721189591078,0.11361587015329125,0.023121387283236993,0.053180396246089674,0.3902439024390244,0.2268041237113402,AdversarialDebiasing
mean,0.8313935058792288,0.06226434067383931,0.5025732598046637,0.5828793341877685,0.7251552613019635,0.49742674019533634,0.16685739805174868,0.04779382964341482,0.24722131511225065,0.13907798512842304,0.1808859329258102,0.05797038833131764,0.06934050781473147,0.5398215209523891,0.29260020584013846,AdversarialDebiasing
max,0.8436732186732187,0.11075441412520064,0.6099744245524297,0.6357340720221606,0.7855361596009975,0.6321989528795812,0.23310810810810811,0.11161638887978331,0.4087595804003451,0.15848007414272475,0.27009646302250806,0.12360289283366206,0.09062821833161688,0.6732223903177005,0.35294117647058826,AdversarialDebiasing
min,0.4867936117936118,0.26618122977346276,0.020671834625323,0.4799253034547152,0.31938690969345485,0.7971938775510204,0.394041769041769,0.022056891467991613,0.03295376121463078,0.26575342465753427,0.44710211591536336,0.2958305757776307,0.1983640081799591,0.019696969696969695,0.009009009009009009,MetaFairClassifier
mean,0.6427669774192648,0.4433678184641914,0.08644339043677035,0.5606418767872329,0.41085425324374836,0.9135566095632296,0.556458146468125,0.15527210566964403,0.12601675760513475,0.4650906401262616,0.6018792940882658,0.4648013678931779,0.40965202056049577,0.08593811177264685,0.08988351839182122,MetaFairClassifier
max,0.7570638820638821,0.6687016687016687,0.20280612244897958,0.6249407302038881,0.4892353377876763,0.979328165374677,0.7414004914004914,0.28178148765233013,0.22052201490681855,0.7613741875580315,0.7315282239559431,0.6257545271629779,0.7349896480331263,0.2081447963800905,0.17355371900826447,MetaFairClassifier
min,0.7896191646191646,0.04331983805668016,0.5694618272841051,0.48900169204737726,0.6255060728744939,0.36768447837150126,0.12162162162162163,0.10716911764705882,0.05425367821547222,0.04046242774566474,0.15716911764705882,0.06413612565445026,0.009554140127388535,0.5451664025356577,0.6403508771929824,PrejudiceRemover
mean,0.8067625843109416,0.06425512729679941,0.599771577890603,0.4991562879821389,0.6660240810752203,0.400228422109397,0.14511210592343535,0.14148299791798397,0.12165537102574639,0.05039764433689794,0.1918806422548819,0.0923449910881672,0.019898137137985113,0.5817111232509585,0.7025837547809256,PrejudiceRemover
max,0.8163390663390664,0.07996702390766694,0.6323155216284987,0.5165165165165166,0.7297979797979798,0.4305381727158949,0.1636977886977887,0.17122055433743746,0.2453097879405328,0.06525735294117647,0.22038567493112948,0.12204989885367498,0.028066528066528068,0.6234567901234568,0.7904761904761904,PrejudiceRemover
