,Accuracy score,False positive rate,False negative rate,F1 score,Precision score,Recall score,Selection rate,Demographic parity difference,Equalized odds difference,SR Female,SR Male,FPR Male,FPR Female,FNR Male,FNR Female,Model_name
AdversarialDebiasing,0.8313935058792288,0.06226434067383931,0.5025732598046637,0.5828793341877685,0.7251552613019635,0.49742674019533634,0.16685739805174868,0.04779382964341482,0.24722131511225065,0.13907798512842304,0.1808859329258102,0.05797038833131764,0.06934050781473147,0.5398215209523891,0.29260020584013846,AdversarialDebiasing
MetaFairClassifier,0.6427669774192648,0.4433678184641914,0.08644339043677035,0.5606418767872329,0.41085425324374836,0.9135566095632296,0.556458146468125,0.15527210566964403,0.12601675760513475,0.4650906401262616,0.6018792940882658,0.4648013678931779,0.40965202056049577,0.08593811177264685,0.08988351839182122,MetaFairClassifier
PrejudiceRemover,0.8067625843109416,0.06425512729679941,0.599771577890603,0.4991562879821389,0.6660240810752203,0.400228422109397,0.14511210592343535,0.14148299791798397,0.12165537102574639,0.05039764433689794,0.1918806422548819,0.0923449910881672,0.019898137137985113,0.5817111232509585,0.7025837547809256,PrejudiceRemover
